Date, Time, Indices, Previous close, Day Open, Day High, Day Low, LTP/Closing Prices
2020/05/05,03:04:43,Shanghai SE Composite Index,2822.44,2832.38,2865.59,2832.38,2860.08
2020/05/05,03:04:43,Hang Seng,23613.80,23755.77,23872.76,23697.88,23749.36
2020/05/05,03:04:43,Mumbai Sensex,33717.62,32748.14,32748.14,31632.02,31715.35
2020/05/05,03:04:43,Nikkei 225,20193.69,19991.97,20000.25,19551.73,19619.35
2020/05/05,03:04:43,Taiwan TSEC 50 Index,10720.48,10756.95,10833.53,10756.95,10772.81
2020/05/05,04:30:03,FTSE 100,5763.06,5763.06,5792.85,5702.03,5753.78
2020/05/05,04:30:03,CAC 40,4572.18,4413.14,4427.74,4362.13,4378.23
2020/05/05,04:30:03,Swiss Market Index,9629.40,9618.93,9619.38,9389.66,9390.27
2020/05/05,04:30:03,Euronext 100,899.87,870.19,870.89,860.21,863.56
2020/05/05,04:30:03,DAX,10861.64,10543.36,10578.43,10426.06,10466.80
2020/05/05,12:00:23,Dow Jones Industrial Average,23723.69,23581.55,23769.56,23361.16,23749.76
2020/05/05,12:00:32,Brazil Bovespa Stock Index,80505.89,80501.17,80501.65,77640.22,78876.22
2020/05/05,12:00:41,Santiago Index IPSA,3977.56,3977.56,2795.71,2689.54,2706.34
2020/05/05,12:00:52,S&P 500 INDEX,2830.71,2815.01,2844.24,2797.85,2842.74
2020/05/05,12:01:00,Canada S&P/TSX 60,882.65,880.17,893.10,877.58,893.10
2020/05/05,12:01:11,IPC,36470.11,36266.73,36440.82,35645.40,36370.43
2020/05/06,02:30:03,Australia ASX All Ordinaries,5478.10,5478.10,5482.30,5431.70,5440.10
2020/05/06,02:30:03,Shanghai SE Composite Index,2860.08,2831.63,2853.24,2830.65,2851.35
2020/05/06,02:30:03,Hang Seng,23868.66,23868.02,24076.71,23868.02,24008.06
2020/05/06,02:30:03,Mumbai Sensex,31715.35,32182.90,32264.00,31403.57,31453.51
2020/05/06,02:30:03,Nikkei 225,20193.69,19991.97,20000.25,19551.73,19619.35
2020/05/06,02:30:03,Taiwan TSEC 50 Index,10774.61,10771.09,10828.73,10708.10,10798.25
2020/05/06,04:30:03,FTSE 100,5753.78,5753.78,5869.45,5753.78,5849.42
2020/05/06,04:30:03,CAC 40,4378.23,4455.74,4492.52,4419.95,4483.13
2020/05/06,04:30:03,Swiss Market Index,9390.27,9444.58,9512.17,9416.14,9512.17
2020/05/06,04:30:03,Euronext 100,863.56,877.74,882.49,869.87,882.25
2020/05/06,04:30:03,DAX,10466.80,10627.07,10736.95,10518.94,10729.46
2020/05/06,12:00:13,Dow Jones Industrial Average,23749.76,23958.88,24169.72,23868.91,23883.09
2020/05/06,12:00:22,Brazil Bovespa Stock Index,78876.22,78887.12,81052.61,78886.34,79470.78
2020/05/06,12:00:28,Santiago Index IPSA,3853.27,3853.27,2771.88,2706.34,2754.89
2020/05/06,12:00:37,S&P 500 INDEX,2842.74,2868.88,2898.23,2863.55,2868.44
2020/05/06,12:00:46,Canada S&P/TSX 60,893.10,902.18,904.59,893.93,896.99
2020/05/06,12:00:56,IPC,36370.43,36357.40,36852.59,36356.85,36616.06
2020/05/07,02:51:31,Australia ASX All Ordinaries,5464.80,5464.80,5468.30,5428.60,5440.60
2020/05/07,02:51:31,Shanghai SE Composite Index,2878.14,2876.47,2876.47,2866.30,2870.22
2020/05/07,02:51:31,Hang Seng,24137.48,24120.81,24120.81,23913.50,23996.21
2020/05/07,02:51:31,Mumbai Sensex,31715.35,32182.90,31970.84,31158.75,31685.75
2020/05/07,02:51:31,Nikkei 225,19619.35,19468.52,19623.66,19448.93,19587.42
2020/05/07,02:51:31,Taiwan TSEC 50 Index,10774.98,10778.53,10821.55,10775.16,10810.74
2020/05/07,04:30:06,FTSE 100,5753.78,5753.78,5897.44,5839.57,5853.76
2020/05/07,04:30:06,CAC 40,4378.23,4455.74,4484.16,4425.78,4433.38
2020/05/07,04:30:06,Swiss Market Index,8635.68,7774.88,3848.74,18.,875.01
2020/05/07,04:30:06,Euronext 100,863.56,877.74,883.84,874.18,875.01
2020/05/07,04:30:06,DAX,10729.46,10719.52,10773.86,10598.90,10606.20
2020/05/07,13:47:56,Dow Jones Industrial Average,23664.64,23837.21,23982.06,23837.21,23973.84
2020/05/07,13:47:59,Brazil Bovespa Stock Index,79063.68,79072.28,79989.25,79072.28,79506.87
2020/05/07,13:48:03,Santiago Index IPSA,2781.09,2781.09,2781.09,2781.09,2781.09
2020/05/07,13:48:07,S&P 500 INDEX,2848.42,2878.26,2891.70,2878.26,2887.17
2020/05/07,13:48:10,Canada S&P/TSX 60,893.10,902.18,904.59,893.93,896.99
2020/05/07,13:48:14,IPC,36986.20,.,.,.,36986.20
2020/05/08,03:30:25,Australia ASX All Ordinaries,5449.90,5449.90,5521.20,5449.90,5498.70
2020/05/08,03:30:25,Shanghai SE Composite Index,2871.52,2882.71,2893.41,2879.20,2892.70
2020/05/08,03:30:25,Hang Seng,23980.63,24193.36,24238.14,24097.12,24210.60
2020/05/08,03:30:25,Mumbai Sensex,31443.38,.,.,.,31443.38
2020/05/08,03:30:25,Nikkei 225,19674.77,19972.09,20088.94,19894.58,20025.91
2020/05/08,03:30:25,Taiwan TSEC 50 Index,10842.92,10883.22,10970.70,10883.22,10924.94
2020/05/08,04:30:07,FTSE 100,5853.76,5853.76,5941.86,5853.60,5935.98
2020/05/08,04:30:07,CAC 40,4433.38,4456.44,4503.94,4440.98,4501.44
2020/05/08,04:30:07,Swiss Market Index,9571.70,9609.13,9635.96,9555.61,9617.98
2020/05/08,04:30:07,Euronext 100,875.01,879.90,889.75,878.37,889.75
2020/05/08,04:30:07,DAX,10606.20,10640.77,10761.86,10617.23,10759.27
